"MU2808,南京禄口机场,NKG,广州白云机场,CAN,2016-06-27 19:50,2016-06-27 17:35,2:15,320,东方航空,东方航空,DOMESTIC_OD_DISCOUNT,国内促销OD,1380.0"
"MU5320,上海浦东机场,SHA,广州白云机场,CAN,2016-06-27 22:20,2016-06-27 19:55,2:25,323,东方航空,东方航空,DOMESTIC_OD_DISCOUNT,国内促销OD,1510.0"
"MU2283,鄂尔多斯鄂尔多斯伊金霍洛机场,DSN,广州白云机场,CAN,2016-06-27 16:10,2016-06-27 11:20,4:50,320,东方航空,东方航空,COMMON_OD,国内中转联程,1670.0"
"MU2283,鄂尔多斯鄂尔多斯伊金霍洛机场,DSN,广州白云机场,CAN,2016-06-27 16:10,2016-06-27 11:20,4:50,320,东方航空,东方航空,DOMESTIC_OD_DISCOUNT,国内促销OD,1680.0"
"MU2324,西安咸阳机场,SIA,广州白云机场,CAN,2016-06-27 09:15,2016-06-27 06:40,2:35,320,东方航空,东方航空,DOMESTIC_OD_DISCOUNT,国内促销OD,1730.0"
"MU5318,上海虹桥机场,SHA,广州白云机场,CAN,2016-06-27 21:00,2016-06-27 18:30,2:30,321,东方航空,东方航空,DOMESTIC_OD_DISCOUNT,国内促销OD,1770.0"
"MU2808,南京禄口机场,NKG,广州白云机场,CAN,2016-06-27 19:50,2016-06-27 17:35,2:15,320,东方航空,东方航空,COMMON_OD,国内中转联程,1810.0"
"MU5320,上海浦东机场,SHA,广州白云机场,CAN,2016-06-27 22:20,2016-06-27 19:55,2:25,323,东方航空,东方航空,COMMON_OD,国内中转联程,1860.0"
"MU2324,西安咸阳机场,SIA,广州白云机场,CAN,2016-06-27 09:15,2016-06-27 06:40,2:35,320,东方航空,东方航空,COMMON_OD,国内中转联程,2070.0"
"MU5318,上海虹桥机场,SHA,广州白云机场,CAN,2016-06-27 21:00,2016-06-27 18:30,2:30,321,东方航空,东方航空,COMMON_OD,国内中转联程,2160.0"
"CZ6276,长春龙嘉机场,CGQ,广州白云机场,CAN,2016-06-27 19:05,2016-06-27 14:50,4:15,319,南方航空,南方航空,OTHER_CZ,南航互售,2680.0"
"CZ6276,长春龙嘉机场,CGQ,广州白云机场,CAN,2016-06-27 19:05,2016-06-27 14:50,4:15,319,南方航空,南方航空,OTHER_CZ,南航互售,6700.0"
"MU5469,昆明昆明长水机场,KMG,南昌昌北机场,KHN,2016-06-27 09:55,2016-06-27 07:40,2:15,320,东方航空,东方航空,HYZJ_ALL,会员价-经济舱,670.0"
"MU5469,昆明昆明长水机场,KMG,南昌昌北机场,KHN,2016-06-27 09:55,2016-06-27 07:40,2:15,320,东方航空,东方航空,COMMON_Y1,折扣经济舱,680.0"
"MU5465,昆明昆明长水机场,KMG,南昌昌北机场,KHN,2016-06-27 14:45,2016-06-27 12:30,2:15,323,东方航空,东方航空,HYZJ_ALL,会员价-经济舱,830.0"
"MU5617,昆明昆明长水机场,KMG,南昌昌北机场,KHN,2016-06-27 21:10,2016-06-27 18:50,2:20,320,东方航空,东方航空,HYZJ_ALL,会员价-经济舱,830.0"
"MU5465,昆明昆明长水机场,KMG,南昌昌北机场,KHN,2016-06-27 14:45,2016-06-27 12:30,2:15,323,东方航空,东方航空,COMMON_Y1,折扣经济舱,850.0"
"MU5617,昆明昆明长水机场,KMG,南昌昌北机场,KHN,2016-06-27 21:10,2016-06-27 18:50,2:20,320,东方航空,东方航空,COMMON_Y1,折扣经济舱,850.0"
"MU5469,昆明昆明长水机场,KMG,南昌昌北机场,KHN,2016-06-27 09:55,2016-06-27 07:40,2:15,320,东方航空,东方航空,HYZJ_ALL,会员价-头等舱,1400.0"
"MU5465,昆明昆明长水机场,KMG,南昌昌北机场,KHN,2016-06-27 14:45,2016-06-27 12:30,2:15,323,东方航空,东方航空,HYZJ_ALL,会员价-头等舱,1400.0"
"MU5617,昆明昆明长水机场,KMG,南昌昌北机场,KHN,2016-06-27 21:10,2016-06-27 18:50,2:20,320,东方航空,东方航空,HYZJ_ALL,会员价-头等舱,1400.0"
"MU5469,昆明昆明长水机场,KMG,南昌昌北机场,KHN,2016-06-27 09:55,2016-06-27 07:40,2:15,320,东方航空,东方航空,COMMON_P,超值头等舱,1440.0"
"MU5465,昆明昆明长水机场,KMG,南昌昌北机场,KHN,2016-06-27 14:45,2016-06-27 12:30,2:15,323,东方航空,东方航空,COMMON_P,超值头等舱,1440.0"
"MU5617,昆明昆明长水机场,KMG,南昌昌北机场,KHN,2016-06-27 21:10,2016-06-27 18:50,2:20,320,东方航空,东方航空,COMMON_P,超值头等舱,1440.0"
"MU5469,昆明昆明长水机场,KMG,南昌昌北机场,KHN,2016-06-27 09:55,2016-06-27 07:40,2:15,320,东方航空,东方航空,COMMON_Y1,折扣经济舱,1630.0"
"MU5465,昆明昆明长水机场,KMG,南昌昌北机场,KHN,2016-06-27 14:45,2016-06-27 12:30,2:15,323,东方航空,东方航空,COMMON_Y1,折扣经济舱,1680.0"
"MU5617,昆明昆明长水机场,KMG,南昌昌北机场,KHN,2016-06-27 21:10,2016-06-27 18:50,2:20,320,东方航空,东方航空,COMMON_Y1,折扣经济舱,1680.0"
"MU5469,昆明昆明长水机场,KMG,南昌昌北机场,KHN,2016-06-27 09:55,2016-06-27 07:40,2:15,320,东方航空,东方航空,COMMON_Y,标准经济舱,1700.0"
"MU5465,昆明昆明长水机场,KMG,南昌昌北机场,KHN,2016-06-27 14:45,2016-06-27 12:30,2:15,323,东方航空,东方航空,COMMON_Y,标准经济舱,1700.0"
"MU5617,昆明昆明长水机场,KMG,南昌昌北机场,KHN,2016-06-27 21:10,2016-06-27 18:50,2:20,320,东方航空,东方航空,COMMON_Y,标准经济舱,1700.0"
"MU5469,昆明昆明长水机场,KMG,南昌昌北机场,KHN,2016-06-27 09:55,2016-06-27 07:40,2:15,320,东方航空,东方航空,HYZJ_ALL,会员价-公务舱,2470.0"
"MU5465,昆明昆明长水机场,KMG,南昌昌北机场,KHN,2016-06-27 14:45,2016-06-27 12:30,2:15,323,东方航空,东方航空,HYZJ_ALL,会员价-公务舱,2470.0"
"MU5617,昆明昆明长水机场,KMG,南昌昌北机场,KHN,2016-06-27 21:10,2016-06-27 18:50,2:20,320,东方航空,东方航空,HYZJ_ALL,会员价-公务舱,2470.0"
"MU5469,昆明昆明长水机场,KMG,南昌昌北机场,KHN,2016-06-27 09:55,2016-06-27 07:40,2:15,320,东方航空,东方航空,COMMON_J,标准公务舱,2550.0"
"MU5465,昆明昆明长水机场,KMG,南昌昌北机场,KHN,2016-06-27 14:45,2016-06-27 12:30,2:15,323,东方航空,东方航空,COMMON_J,标准公务舱,2550.0"
"MU5617,昆明昆明长水机场,KMG,南昌昌北机场,KHN,2016-06-27 21:10,2016-06-27 18:50,2:20,320,东方航空,东方航空,COMMON_J,标准公务舱,2550.0"
"MU5469,昆明昆明长水机场,KMG,南昌昌北机场,KHN,2016-06-27 09:55,2016-06-27 07:40,2:15,320,东方航空,东方航空,COMMON_F,标准头等舱,4250.0"
"MU5465,昆明昆明长水机场,KMG,南昌昌北机场,KHN,2016-06-27 14:45,2016-06-27 12:30,2:15,323,东方航空,东方航空,COMMON_F,标准头等舱,4250.0"
"MU5617,昆明昆明长水机场,KMG,南昌昌北机场,KHN,2016-06-27 21:10,2016-06-27 18:50,2:20,320,东方航空,东方航空,COMMON_F,标准头等舱,4250.0"
"CZ3232,桂林两江机场,KWL,广州白云机场,CAN,2016-06-27 11:30,2016-06-27 10:15,1:15,738,南方航空,南方航空,OTHER_CZ,南航互售,1140.0"
"CZ3232,桂林两江机场,KWL,广州白云机场,CAN,2016-06-27 11:30,2016-06-27 10:15,1:15,738,南方航空,南方航空,OTHER_CZ,南航互售,3190.0"
"CZ3231,广州白云机场,CAN,桂林两江机场,KWL,2016-06-27 09:40,2016-06-27 08:30,1:10,738,南方航空,南方航空,OTHER_CZ,南航互售,1140.0"
"CZ3231,广州白云机场,CAN,桂林两江机场,KWL,2016-06-27 09:40,2016-06-27 08:30,1:10,738,南方航空,南方航空,OTHER_CZ,南航互售,3190.0"
"MU2546,武汉天河机场,WUH,沈阳桃仙机场,SHE,2016-06-27 17:10,2016-06-27 12:50,4:20,73H,东方航空,东方航空,DOMESTIC_OD_DISCOUNT,国内促销OD,1010.0"
"MU2546,武汉天河机场,WUH,沈阳桃仙机场,SHE,2016-06-27 17:10,2016-06-27 12:50,4:20,73H,东方航空,东方航空,COMMON_OD,国内中转联程,1130.0"
"MU2264,西安咸阳机场,SIA,沈阳桃仙机场,SHE,2016-06-27 19:50,2016-06-27 16:45,3:05,73E,东方航空,东方航空,DOMESTIC_OD_DISCOUNT,国内促销OD,1170.0"
"MU2943,南京禄口机场,NKG,沈阳桃仙机场,SHE,2016-06-27 09:50,2016-06-27 07:30,2:20,320,东方航空,东方航空,DOMESTIC_OD_DISCOUNT,国内促销OD,1200.0"
"MU2943,南京禄口机场,NKG,沈阳桃仙机场,SHE,2016-06-27 09:50,2016-06-27 07:30,2:20,320,东方航空,东方航空,COMMON_OD,国内中转联程,1220.0"
"MU2264,西安咸阳机场,SIA,沈阳桃仙机场,SHE,2016-06-27 19:50,2016-06-27 16:45,3:05,73E,东方航空,东方航空,COMMON_OD,国内中转联程,1470.0"
"MU5604,上海浦东机场,SHA,沈阳桃仙机场,SHE,2016-06-27 11:45,2016-06-27 09:25,2:20,321,东方航空,东方航空,DOMESTIC_OD_DISCOUNT,国内促销OD,1820.0"
"MU5602,上海浦东机场,SHA,沈阳桃仙机场,SHE,2016-06-27 09:50,2016-06-27 07:35,2:15,323,东方航空,东方航空,DOMESTIC_OD_DISCOUNT,国内促销OD,2090.0"
"MU5604,上海浦东机场,SHA,沈阳桃仙机场,SHE,2016-06-27 11:45,2016-06-27 09:25,2:20,321,东方航空,东方航空,COMMON_OD,国内中转联程,2310.0"
"MU5602,上海浦东机场,SHA,沈阳桃仙机场,SHE,2016-06-27 09:50,2016-06-27 07:35,2:15,323,东方航空,东方航空,COMMON_OD,国内中转联程,2740.0"
"CZ6311,深圳宝安机场,SZX,沈阳桃仙机场,SHE,2016-06-27 13:45,2016-06-27 08:10,5:35,320,南方航空,南方航空,OTHER_CZ,南航互售,2490.0"
"CZ6309,深圳宝安机场,SZX,沈阳桃仙机场,SHE,2016-06-27 16:05,2016-06-27 11:55,4:10,320,南方航空,南方航空,OTHER_CZ,南航互售,2490.0"
"CZ6303,深圳宝安机场,SZX,沈阳桃仙机场,SHE,2016-06-27 19:10,2016-06-27 13:35,5:35,320,南方航空,南方航空,OTHER_CZ,南航互售,2490.0"
"CZ6311,深圳宝安机场,SZX,沈阳桃仙机场,SHE,2016-06-27 13:45,2016-06-27 08:10,5:35,320,南方航空,南方航空,OTHER_CZ,南航互售,5730.0"
"CZ6309,深圳宝安机场,SZX,沈阳桃仙机场,SHE,2016-06-27 16:05,2016-06-27 11:55,4:10,320,南方航空,南方航空,OTHER_CZ,南航互售,5730.0"
"CZ6303,深圳宝安机场,SZX,沈阳桃仙机场,SHE,2016-06-27 19:10,2016-06-27 13:35,5:35,320,南方航空,南方航空,OTHER_CZ,南航互售,5730.0"
